crank-nicholson-M20-N100 crank-nicholson-M20-N200 crank-nicholson-M20-N300 crank-nicholson-M30-N100 crank-nicholson-M30-N200 crank-nicholson-M30-N300 crank-nicholson-M100-N100 crank-nicholson-M100-N200 crank-nicholson-M100-N300 crank-nicholson-M200-N100 crank-nicholson-M200-N200 crank-nicholson-M200-N300 crank-nicholson-M400-N100 crank-nicholson-M400-N200 crank-nicholson-M400-N300 crank-nicholson-M800-N100 crank-nicholson-M800-N200 crank-nicholson-M800-N300
6.141942388244152617e-01 6.209589795655378053e-01 6.154390464126575644e-01 6.201632432387454985e-01 6.192132063881174986e-01 6.217788382651742163e-01 6.274643573443290379e-01 6.271139032783961120e-01 6.272659257903463459e-01 6.284370987207101855e-01 6.282824532414690299e-01 6.280785162895631268e-01 6.289832057918441910e-01 6.289101384324203847e-01 6.287897992712475626e-01 6.292651460969637123e-01 6.292292207386859237e-01 6.291674381382622583e-01
6.136838605760921439e-01 6.139062756985430580e-01 6.141795328304676671e-01 6.210970172849933357e-01 6.227564217177582462e-01 6.189734873389749481e-01 6.265648090515099078e-01 6.268585536813465753e-01 6.269411597095049249e-01 6.281372958163634612e-01 6.280685715463037999e-01 6.283561712691643208e-01 6.288543401820119172e-01 6.287940999376808726e-01 6.289508832203308808e-01 6.292033911809290503e-01 6.291702204532549914e-01 6.292493992364787125e-01
6.211312357335717627e-01 6.139282153870923020e-01 6.141105943475821949e-01 6.198763452957155584e-01 6.195877268237224289e-01 6.197673624179532714e-01 6.269121133564590220e-01 6.271413212616896438e-01 6.265651122542349460e-01 6.281451087389919863e-01 6.282348303482734320e-01 6.280784136702640685e-01 6.288373317451505518e-01 6.288763173765518077e-01 6.288115412513792801e-01 6.291923076900511891e-01 6.292110526204660603e-01 6.291803383857450527e-01
6.188055533944254449e-01 6.141985994359299150e-01 6.150009214399634327e-01 6.205472575530325274e-01 6.200175821686213506e-01 6.191962431771431685e-01 6.265223462594331494e-01 6.264388404623800755e-01 6.274852414829844571e-01 6.280874040105068890e-01 6.279744271667113686e-01 6.283493818523746555e-01 6.288255105272405610e-01 6.287622916138182472e-01 6.289067160469489215e-01 6.291884938152760842e-01 6.291561795599213136e-01 6.292228640588356514e-01
6.139801328457803464e-01 6.192476107664535157e-01 6.261217382563811773e-01 6.208103321227410598e-01 6.196227391755688707e-01 6.214876321154307881e-01 6.267042606912114344e-01 6.274340056825346013e-01 6.265643557124100926e-01 6.281304375375328375e-01 6.284314882594798091e-01 6.280741633706938831e-01 6.288394671949670833e-01 6.289709189217828067e-01 6.288203755994800082e-01 6.291944904978072906e-01 6.292576073937685699e-01 6.291864123974767464e-01
6.136299278019924364e-01 6.197305047622017060e-01 6.144959839528641998e-01 6.197630914979974648e-01 6.215141774365330329e-01 6.190911831329813930e-01 6.264226638602464758e-01 6.264688334568986328e-01 6.273918524946443531e-01 6.279738531001903823e-01 6.280361159335701160e-01 6.280858093863801450e-01 6.287630227917702097e-01 6.287961307609419848e-01 6.287881584876537922e-01 6.291566241072525933e-01 6.291733492585794840e-01 6.291662470434299381e-01
6.145206064607019458e-01 6.169809259449280381e-01 6.136170333107172636e-01 6.207038125097282810e-01 6.195850413158007219e-01 6.195523394192022915e-01 6.278933593020160631e-01 6.276083084187783490e-01 6.264435481105359305e-01 6.287136348750704817e-01 6.285735786486403853e-01 6.281161515262909667e-01 6.291255085725051543e-01 6.290420499391307096e-01 6.288652603796652807e-01 6.293366711638186395e-01 6.292929117834942243e-01 6.292119551104901065e-01
6.207765327261610677e-01 6.145456854270892055e-01 6.136586216099378932e-01 6.190158004620011090e-01 6.202368977329997257e-01 6.193912508201665501e-01 6.264074775585771748e-01 6.265105416481340228e-01 6.264830142236217370e-01 6.279831888327721545e-01 6.280891625530973243e-01 6.279909007032007384e-01 6.287719676576446481e-01 6.288225357055645670e-01 6.287795223848804405e-01 6.291616796585115523e-01 6.291863890926410186e-01 6.291657796220516685e-01
6.277799407183611846e-01 6.153071184917280334e-01 6.215812077593292351e-01 6.240434455093764043e-01 6.196663564543811731e-01 6.232814048231086757e-01 6.266719018372152172e-01 6.266932369570762384e-01 6.269483640791168044e-01 6.281029078035866853e-01 6.281343185287773245e-01 6.286551417252191909e-01 6.288239015498695572e-01 6.288368645111853672e-01 6.291476834041744848e-01 6.291864787712084794e-01 6.291924322341572173e-01 6.293529724168311912e-01
6.144473994614785273e-01 6.209843592701566051e-01 6.292108581942195134e-01 6.215131530837387785e-01 6.258688600063346819e-01 6.196617550477760972e-01 6.263950010482621789e-01 6.270866038681935928e-01 6.264627651668660535e-01 6.279856074664734722e-01 6.285663384587416580e-01 6.279761514088066932e-01 6.287707521682777134e-01 6.290740657959066340e-01 6.287632382759041905e-01 6.291606777922802429e-01 6.293132808208941054e-01 6.291565420846725321e-01
6.136097743452634257e-01 6.295721498957492779e-01 6.147536420753008102e-01 6.193039205692771887e-01 6.192639578245154874e-01 6.192024755242040435e-01 6.271541951445271934e-01 6.269785176353673828e-01 6.266727631009351152e-01 6.284528818967352048e-01 6.281783331019969996e-01 6.282234269672830607e-01 6.290113691140659657e-01 6.288553454943067722e-01 6.288718676649190931e-01 6.292816865863126718e-01 6.292014553354907669e-01 6.292081055591499661e-01
6.167792789059384218e-01 6.146609251366034199e-01 6.142291538324220479e-01 6.192978578193680805e-01 6.189682263387965566e-01 6.201372505482825037e-01 6.275208946404787769e-01 6.264245761139350943e-01 6.267883997105690996e-01 6.283139176492956723e-01 6.281538277082137078e-01 6.281326096027725070e-01 6.289067406549807560e-01 6.288746426410624091e-01 6.288436270385169280e-01 6.292252239601549002e-01 6.292147503360022709e-01 6.291976573649121773e-01
6.232105747046110533e-01 6.146607827644957611e-01 6.156379427668806636e-01 6.209373670894163810e-01 6.200281257380897415e-01 6.266727352300356380e-01 6.265910463535142583e-01 6.264094534363011668e-01 6.285279126214600165e-01 6.281495785000119625e-01 6.280504842467116156e-01 6.285403818073003190e-01 6.288578298979845549e-01 6.288092334586656840e-01 6.289693775248060836e-01 6.292047112814213028e-01 6.291805429751868850e-01 6.292510916367486384e-01
