x U
-1.000000000000000000e+00 -8.608420828843210693e-01
-8.947368421052631637e-01 -6.489130574200451251e-01
-7.894736842105263275e-01 -3.666642332609190147e-01
-6.842105263157894912e-01 -4.468165004619401026e-02
-5.789473684210526550e-01 2.821428832583438018e-01
-4.736842105263158187e-01 5.783928572638744603e-01
-3.684210526315789824e-01 8.119649904949709507e-01
-2.631578947368421462e-01 9.575481180710274653e-01
-1.578947368421053099e-01 9.993660491642443189e-01
-5.263157894736847364e-02 9.328871620684868748e-01
5.263157894736836262e-02 7.653154757267601749e-01
1.578947368421053099e-01 5.148099824969385452e-01
2.631578947368420351e-01 2.085168395638375693e-01
3.684210526315787604e-01 -1.203723384082480696e-01
4.736842105263157077e-01 -4.362173057447011892e-01
5.789473684210526550e-01 -7.047913593947199296e-01
6.842105263157893802e-01 -8.969903332893582881e-01
7.894736842105261054e-01 -9.919864863332293892e-01
8.947368421052630527e-01 -9.794855113268057245e-01
1.000000000000000000e+00 -8.608420828843210693e-01
