x U
-1.000000000000000000e+00 -1.080566331801145336e-01
-9.949874686716791983e-01 -9.244454192804853199e-02
-9.899749373433583965e-01 -7.642143951862979956e-02
-9.849624060150375948e-01 -6.079668565807862940e-02
-9.799498746867167931e-01 -4.474102418513854068e-02
-9.749373433583959914e-01 -2.911684676438699299e-02
-9.699248120300751896e-01 -1.304530518815900583e-02
-9.649122807017543879e-01 2.564971338778174875e-03
-9.598997493734335862e-01 1.863572555668528349e-02
-9.548872180451127845e-01 3.421870401432440534e-02
-9.498746867167919827e-01 5.027203536918083138e-02
-9.448621553884711810e-01 6.581425881782802800e-02
-9.398496240601503793e-01 8.183358382681583942e-02
-9.348370927318295776e-01 9.732154877582438468e-02
-9.298245614035087758e-01 1.132903556379786930e-01
-9.248120300751879741e-01 1.287105254971318835e-01
-9.197994987468671724e-01 1.446123933371617210e-01
-9.147869674185463706e-01 1.599512120875478671e-01
-9.097744360902255689e-01 1.757698297733357451e-01
-9.047619047619047672e-01 1.910137358383167672e-01
-8.997493734335839655e-01 2.067329203627098766e-01
-8.947368421052631637e-01 2.218683606589552382e-01
-8.897243107769423620e-01 2.374720750772509881e-01
-8.847117794486215603e-01 2.524855192251657665e-01
-8.796992481203007586e-01 2.679578901404585101e-01
-8.746867167919799568e-01 2.828358448128220348e-01
-8.696741854636591551e-01 2.981611794021069017e-01
-8.646616541353383534e-01 3.128902027892461191e-01
-8.596491228070175517e-01 3.280530053639106325e-01
-8.546365914786967499e-01 3.426197217333188938e-01
-8.496240601503759482e-01 3.576047098283415271e-01
-8.446115288220551465e-01 3.719958241563011136e-01
-8.395989974937343447e-01 3.867879441431403831e-01
-8.345864661654135430e-01 4.009902567956071806e-01
-8.295739348370927413e-01 4.155746990144219000e-01
-8.245614035087719396e-01 4.295751204542141988e-01
-8.195488721804511378e-01 4.439373338616640075e-01
-8.145363408521303361e-01 4.577228993588079442e-01
-8.095238095238095344e-01 4.718486056882919000e-01
-8.045112781954887327e-01 4.854064900102846303e-01
