x U E
-1.000000000000000000e+00 3.720075976020836120e-44 4.311933721071082164e-16
-9.285714285714286031e-01 4.367989825543491674e-17 1.140830429574743588e-15
-8.571428571428572063e-01 8.735979651086982115e-17 1.879528334128122823e-15
-7.857142857142856984e-01 1.310396947647597168e-16 2.622846394870088680e-15
-7.142857142857143016e-01 1.747195235003780263e-16 3.360005019585209099e-15
-6.428571428571429047e-01 2.172719932285900236e-16 4.432151803803768520e-14
-5.714285714285713969e-01 -6.328987103119685394e-15 9.648975169894153503e-11
-5.000000000000000000e-01 -1.388763810567622978e-11 6.875529593070991001e-08
-4.285714285714286031e-01 -1.054781643001525993e-08 1.719902635311429374e-05
-3.571428571428572063e-01 -2.887550361799910736e-06 1.482708016993068744e-03
-2.857142857142858094e-01 -2.849304888761306290e-04 4.235821308780828715e-02
-2.142857142857143016e-01 -1.013422738148524876e-02 3.622146311057365953e-01
-1.428571428571429047e-01 -1.299226083050587510e-01 5.907792841495550507e-01
-7.142857142857150787e-02 -6.003730411984030679e-01 1.000000000000000000e+00
0.000000000000000000e+00 -9.999999999999993339e-01 9.999999999999966693e-01
7.142857142857139685e-02 -6.003730411984040671e-01 5.907792841495540515e-01
1.428571428571427937e-01 -1.299226083050590563e-01 3.622146311057355406e-01
2.142857142857141906e-01 -1.013422738148517591e-02 4.235821308780655936e-02
2.857142857142855874e-01 -2.849304888760231845e-04 1.482708016991446994e-03
3.571428571428569843e-01 -2.887550361700006164e-06 1.719902635165045140e-05
4.285714285714283811e-01 -1.054781634117212476e-08 6.875529464045916452e-08
5.000000000000000000e-01 -1.388756036775598806e-11 9.648863387939943926e-11
5.714285714285713969e-01 -6.262354600057397959e-15 4.339574241625747006e-14
6.428571428571427937e-01 2.727990791138274158e-16 4.216234263238153619e-15
7.142857142857141906e-01 2.191411922085679894e-16 3.289693389411224392e-15
7.857142857142855874e-01 1.643559462959022015e-16 2.357389938215127106e-15
8.571428571428569843e-01 1.095706308649649136e-16 1.430881422244386615e-15
9.285714285714283811e-01 5.478531543248254310e-17 5.408223426972946571e-16
1.000000000000000000e+00 3.720075976020836120e-44 0.000000000000000000e+00
