x U E
-1.000000000000000000e+00 0.000000000000000000e+00 3.738913121911485879e-16
-8.571428571428572063e-01 -2.323250056373800206e-16 9.892234294253918460e-16
-7.142857142857143016e-01 -4.646500112747602384e-16 1.629754445709035178e-15
-5.714285714285713969e-01 -6.969750169121404069e-16 2.274292064200353539e-15
-4.285714285714286031e-01 -9.293000225495202795e-16 2.920184499865231823e-15
-2.857142857142858094e-01 -1.161625028186900054e-15 2.087671793500872371e-09
-1.428571428571429047e-01 -1.370401261856479677e-09 1.000000000000000000e+00
0.000000000000000000e+00 -1.000000000000001554e+00 9.999999999999992228e-01
1.428571428571427937e-01 -1.370401158432115277e-09 2.087671556978775762e-09
2.857142857142855874e-01 -1.075438021706887469e-15 2.703520813817118110e-15
4.285714285714283811e-01 -8.603504173655099553e-16 2.105550499479918575e-15
5.714285714285713969e-01 -6.452628130241323432e-16 1.508834481379069169e-15
7.142857142857141906e-01 -4.301752086827550763e-16 9.158277948158825630e-16
8.571428571428569843e-01 -2.150876043413776860e-16 3.461503698347882163e-16
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
