x U E refE
-1.000000000000000000e+00 0.000000000000000000e+00 2.103966147681680319e-14 -1.000000000000000000e+00
-9.285714285714286031e-01 5.505961614520910317e-15 5.566571193664322952e-14 -1.000000000000000000e+00
-8.571428571428572063e-01 1.101192322904182063e-14 9.170975818375031793e-14 -1.000000000000000000e+00
-7.857142857142856984e-01 1.651788484356273963e-14 1.279792644813402377e-13 -1.000000000000000000e+00
-7.142857142857143016e-01 2.202384645808365073e-14 1.643250092304942525e-13 -1.000000000000000000e+00
-6.428571428571429047e-01 2.752980807260455869e-14 2.007055786727752505e-13 -1.000000000000000000e+00
-5.714285714285713969e-01 3.303576968712548557e-14 2.371049432055336516e-13 -1.000000000000000000e+00
-5.000000000000000000e-01 3.854173130164640299e-14 2.735155991986186623e-13 -1.000000000000000000e+00
-4.285714285714286031e-01 4.404769291616731409e-14 3.099335671524041589e-13 -1.000000000000000000e+00
-3.571428571428572063e-01 4.955365453068822520e-14 3.463565406066449336e-13 -1.000000000000000000e+00
-2.857142857142858094e-01 5.505961614520913630e-14 3.827831265447553483e-13 -1.000000000000000000e+00
-2.142857142857143016e-01 6.056558918605166426e-14 4.680706830692418212e-09 -1.000000000000000000e+00
-1.428571428571429047e-01 1.370465939449953257e-09 1.866211599482151332e-02 -1.000000000000000000e+00
-7.142857142857150787e-02 6.084316913290242247e-03 1.000000000000000000e+00 -1.000000000000000000e+00
0.000000000000000000e+00 1.000000000000076605e+00 9.999999999999960032e-01 -1.000000000000000000e+00
7.142857142857139685e-02 6.084316913290619550e-03 1.866211599482340069e-02 -1.000000000000000000e+00
1.428571428571427937e-01 1.370466198575800490e-09 4.680708287871104793e-09 -1.000000000000000000e+00
2.142857142857141906e-01 6.080312117055614855e-14 3.842843625691025981e-13 -1.000000000000000000e+00
2.857142857142855874e-01 5.527555431294048796e-14 3.477149154373578342e-13 -1.000000000000000000e+00
3.571428571428569843e-01 4.974799888164642528e-14 3.111490948166875418e-13 -1.000000000000000000e+00
4.285714285714283811e-01 4.422044345035236891e-14 2.745882993275323759e-13 -1.000000000000000000e+00
5.000000000000000000e-01 3.869288801905830623e-14 2.380348444758367660e-13 -1.000000000000000000e+00
5.714285714285713969e-01 3.316533258776426248e-14 2.014927253684176980e-13 -1.000000000000000000e+00
6.428571428571427937e-01 2.763777715647021558e-14 1.649694750638934699e-13 -1.000000000000000000e+00
7.142857142857141906e-01 2.211022172517617499e-14 1.284811860313709659e-13 -1.000000000000000000e+00
7.857142857142855874e-01 1.658266629388213124e-14 9.206943444980070698e-14 -1.000000000000000000e+00
8.571428571428569843e-01 1.105511086258809223e-14 5.588402714990879500e-14 -1.000000000000000000e+00
9.285714285714283811e-01 5.527555431294054002e-15 2.112217687134867779e-14 -1.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
