x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00
1.428571428571428492e-01 2.732350953653228665e-01 1.133341820247085324e-01 -1.000000000000000000e+00
2.857142857142856984e-01 4.337644346471028478e-01 5.640141426307961753e-02 -1.000000000000000000e+00
4.285714285714285476e-01 5.684095520599481421e-01 3.592398040797460668e-02 -1.000000000000000000e+00
5.714285714285713969e-01 6.885916815346991848e-01 2.563130935665761459e-02 -1.000000000000000000e+00
7.142857142857141906e-01 7.990499340955152796e-01 1.950354858936649560e-02 -1.000000000000000000e+00
8.571428571428570953e-01 9.023302873981700056e-01 1.545196339777512272e-02 -1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
