x U E refE
-1.000000000000000000e+00 3.720075976020836120e-44 1.677136074124130537e-16 -1.000000000000000000e+00
-7.142857142857143016e-01 -1.589626599763247438e-16 1.014412344227072363e-08 -1.000000000000000000e+00
-4.285714285714286031e-01 1.054781646152897680e-08 1.064114335874681294e-01 -1.000000000000000000e+00
-1.428571428571429047e-01 1.299226083050588343e-01 1.000000000000000000e+00 -1.000000000000000000e+00
1.428571428571427937e-01 1.299226083050591396e-01 1.064114335874682404e-01 -1.000000000000000000e+00
4.285714285714283811e-01 1.054781638397954864e-08 1.014412334058259520e-08 -1.000000000000000000e+00
7.142857142857141906e-01 -1.977374895075289949e-16 2.086230029671769399e-16 -1.000000000000000000e+00
1.000000000000000000e+00 3.720075976020836120e-44 0.000000000000000000e+00 -1.000000000000000000e+00
