x U E refE
0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999639178e-01 -1.000000000000000000e+00
1.428571428571428492e-01 2.040816326530614511e-02 9.999999999999706901e-01 -1.000000000000000000e+00
2.857142857142856984e-01 8.163265306122453879e-02 9.999999999999785727e-01 -1.000000000000000000e+00
4.285714285714285476e-01 1.836734693877551672e-01 9.999999999999953371e-01 -1.000000000000000000e+00
5.714285714285713969e-01 3.265306122448980997e-01 1.000000000000000000e+00 -1.000000000000000000e+00
7.142857142857141906e-01 5.102040816326530726e-01 9.999999999999776845e-01 -1.000000000000000000e+00
8.571428571428570953e-01 7.346938775510203357e-01 9.999999999999610312e-01 -1.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00
