x U E
-1.000000000000000000e+00 0.000000000000000000e+00 7.803541323435523112e-16
-9.285714285714286031e-01 2.042143074948766518e-16 2.064622968742625007e-15
-8.571428571428572063e-01 4.084286149897533036e-16 3.401484803059915058e-15
-7.857142857142856984e-01 6.126429224846304238e-16 4.746708876582741707e-15
-7.142857142857143016e-01 8.168572299795071002e-16 6.094760609228652149e-15
-6.428571428571429047e-01 1.021071537474383678e-15 7.444103978302228236e-15
-5.714285714285713969e-01 1.225285844969260848e-15 8.794144451107153403e-15
-5.000000000000000000e-01 1.429500152464137820e-15 1.014460372046618931e-14
-4.285714285714286031e-01 1.633714459959014595e-15 1.149533418804551724e-14
-3.571428571428572063e-01 1.837928767453891173e-15 1.284625030799235529e-14
-2.857142857142858094e-01 2.042143074948768145e-15 1.419726323780735094e-14
-2.142857142857143016e-01 2.246345956122048778e-15 4.680321505025742904e-09
-1.428571428571429047e-01 -1.370397417338890929e-09 1.866211599440713298e-02
-7.142857142857150787e-02 -6.084316913216016032e-03 1.000000000000000000e+00
0.000000000000000000e+00 -9.999999999999974465e-01 9.999999999999962252e-01
7.142857142857139685e-02 -6.084316913216380324e-03 1.866211599440895791e-02
1.428571428571427937e-01 -1.370397668360290734e-09 4.680322916597823930e-09
2.142857142857141906e-01 2.016243045707238301e-15 1.274298002141299763e-14
2.857142857142855874e-01 1.832958610935304218e-15 1.153036014425953714e-14
3.571428571428569843e-01 1.649662749841773599e-15 1.031782348848678123e-14
4.285714285714283811e-01 1.466366888748242783e-15 9.105453468005092101e-15
5.000000000000000000e-01 1.283071027654711572e-15 7.893326865880911297e-15
5.714285714285713969e-01 1.099775166561181348e-15 6.681576161390705666e-15
6.428571428571427937e-01 9.164793054676511230e-16 5.470451153651519754e-15
7.142857142857141906e-01 7.331834443741209970e-16 4.260485475119634661e-15
7.857142857142855874e-01 5.498875832805908710e-16 3.053057807857392206e-15
8.571428571428569843e-01 3.665917221870607450e-16 1.853135803908621133e-15
9.285714285714283811e-01 1.832958610935306437e-16 7.004194975388543991e-16
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
