M err
8.000000000000000000e+00 7.490757535978036904e-06
1.600000000000000000e+01 1.494700816328404050e-06
3.200000000000000000e+01 3.486062050988095638e-07
6.400000000000000000e+01 1.055022862434789383e-07
1.280000000000000000e+02 7.374337494196394719e-08
2.560000000000000000e+02 7.110186902410061351e-08
5.120000000000000000e+02 7.167083679007450227e-08
1.024000000000000000e+03 7.158026317281694016e-08
