N error
8.000000000000000000e+00 1.757922834501035037e-01
1.300000000000000000e+01 6.646815001739368733e-02
2.100000000000000000e+01 2.595257123566850274e-02
3.500000000000000000e+01 9.543836201477202963e-03
5.700000000000000000e+01 3.656169047653849962e-03
9.500000000000000000e+01 1.331581637068014311e-03
1.560000000000000000e+02 4.974635870819937682e-04
2.560000000000000000e+02 1.855938152903903579e-04
