N error
8.000000000000000000e+00 4.236985426247519282e-01
1.300000000000000000e+01 2.489953951723168912e-01
2.100000000000000000e+01 1.527412645979777661e-01
3.500000000000000000e+01 9.190708060159520632e-02
5.700000000000000000e+01 5.672423180233802237e-02
9.500000000000000000e+01 3.419401006217033523e-02
1.560000000000000000e+02 2.089155589392850329e-02
2.560000000000000000e+02 1.275868833127690241e-02
