N comp_time
8.000000000000000000e+00 1.442956924438476562e-02
1.300000000000000000e+01 5.953311920166015625e-03
2.100000000000000000e+01 7.001876831054687500e-03
3.500000000000000000e+01 1.330351829528808594e-02
5.700000000000000000e+01 3.109502792358398438e-02
9.500000000000000000e+01 1.093494892120361328e-01
1.560000000000000000e+02 3.439483642578125000e-01
2.560000000000000000e+02 1.506816387176513672e+00
