Ns five five_roof nine nine_roof
8.000000000000000000e+00 5.127029761206585573e-04 1.234567901234567876e-03 6.487721320207889830e-06 1.524157902758725572e-05
1.600000000000000000e+01 1.576141328506466474e-04 3.460207612456747835e-04 8.374022683809920209e-07 1.197303672130362540e-06
3.100000000000000000e+01 4.415475359600615213e-05 9.765625000000000542e-05 7.197430386754466447e-08 9.536743164062500529e-08
6.300000000000000000e+01 1.098715028804379129e-05 2.441406250000000136e-05 4.581011904015996894e-09 5.960464477539062831e-09
1.270000000000000000e+02 2.743580711036044950e-06 6.103515625000000339e-06 2.875865309781566737e-10 3.725290298461914269e-10
2.560000000000000000e+02 6.803432744690446343e-07 1.514027464458205356e-06 1.771534134664687343e-11 2.292279163133742330e-11
