N comp_time
1.000000000000000000e+01 2.156734466552734375e-03
1.900000000000000000e+01 3.261566162109375000e-03
3.700000000000000000e+01 3.628253936767578125e-03
7.100000000000000000e+01 5.381822586059570312e-03
1.380000000000000000e+02 1.123476028442382812e-02
2.680000000000000000e+02 3.556466102600097656e-02
5.170000000000000000e+02 1.067080497741699219e-01
1.000000000000000000e+03 3.761444091796875000e-01
