N five nine
8.000000000000000000e+00 5.337852332832573876e-02 4.030139035823830304e-03
1.300000000000000000e+01 2.122796560630103510e-02 6.519675424723755464e-04
2.100000000000000000e+01 8.463752513518926768e-03 1.045218703251145597e-04
3.500000000000000000e+01 3.140266355870409160e-03 1.443793229301397902e-05
5.700000000000000000e+01 1.206931460238483888e-03 2.135367278284035997e-06
9.500000000000000000e+01 4.401351799715522823e-04 2.841128568250862754e-07
1.560000000000000000e+02 1.645060212213658648e-04 3.969708787566578363e-08
2.560000000000000000e+02 6.138463610501542964e-05 5.527749441251696787e-09
