N comp_time
8.000000000000000000e+00 2.099990844726562500e-03
1.300000000000000000e+01 1.983165740966796875e-03
2.100000000000000000e+01 2.228021621704101562e-03
3.500000000000000000e+01 2.604007720947265625e-03
5.700000000000000000e+01 3.553867340087890625e-03
9.500000000000000000e+01 6.235361099243164062e-03
1.560000000000000000e+02 2.298378944396972656e-02
2.560000000000000000e+02 7.724595069885253906e-02
