x y U
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.631578947368420907e-02 0.000000000000000000e+00 0.000000000000000000e+00
5.263157894736841813e-02 0.000000000000000000e+00 0.000000000000000000e+00
7.894736842105262720e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.052631578947368363e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.315789473684210453e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.578947368421052544e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.842105263157894635e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.105263157894736725e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.368421052631578816e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.631578947368420907e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.894736842105263275e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.157894736842105088e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.421052631578946901e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.684210526315789269e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.947368421052631637e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.210526315789473450e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.473684210526315264e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.736842105263157632e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.263157894736841813e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.526315789473683626e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.789473684210526550e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.052631578947368363e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.315789473684210176e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.578947368421051989e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.842105263157893802e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.105263157894736725e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.368421052631578538e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.631578947368420351e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.894736842105263275e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.157894736842105088e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.421052631578946901e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.684210526315788714e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.947368421052630527e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.210526315789473450e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.473684210526315264e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.736842105263157077e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.631578947368420907e-02 0.000000000000000000e+00
2.631578947368420907e-02 2.631578947368420907e-02 3.230455332381212421e-04
5.263157894736841813e-02 2.631578947368420907e-02 6.263208516630953872e-04
7.894736842105262720e-02 2.631578947368420907e-02 8.912656670929836348e-04
1.052631578947368363e-01 2.631578947368420907e-02 1.101665497741970623e-03
1.315789473684210453e-01 2.631578947368420907e-02 1.244643985881518922e-03
1.578947368421052544e-01 2.631578947368420907e-02 1.311450924084694861e-03
1.842105263157894635e-01 2.631578947368420907e-02 1.297997763266648622e-03
2.105263157894736725e-01 2.631578947368420907e-02 1.205107829713995609e-03
2.368421052631578816e-01 2.631578947368420907e-02 1.038465937953984364e-03
2.631578947368420907e-01 2.631578947368420907e-02 8.082704831290618607e-04
2.894736842105263275e-01 2.631578947368420907e-02 5.286093046384629816e-04
3.157894736842105088e-01 2.631578947368420907e-02 2.165975178599994437e-04
3.421052631578946901e-01 2.631578947368420907e-02 -1.086699218078984042e-04
3.684210526315789269e-01 2.631578947368420907e-02 -4.272868200603654543e-04
3.947368421052631637e-01 2.631578947368420907e-02 -7.197539921898795778e-04
4.210526315789473450e-01 2.631578947368420907e-02 -9.681726028191628593e-04
4.473684210526315264e-01 2.631578947368420907e-02 -1.157339565106260681e-03
4.736842105263157632e-01 2.631578947368420907e-02 -1.275677961573073137e-03
5.000000000000000000e-01 2.631578947368420907e-02 -1.315945545297499868e-03
5.263157894736841813e-01 2.631578947368420907e-02 -1.275677961573073570e-03
5.526315789473683626e-01 2.631578947368420907e-02 -1.157339565106261332e-03
5.789473684210526550e-01 2.631578947368420907e-02 -9.681726028191637266e-04
6.052631578947368363e-01 2.631578947368420907e-02 -7.197539921898807704e-04
6.315789473684210176e-01 2.631578947368420907e-02 -4.272868200603668638e-04
6.578947368421051989e-01 2.631578947368420907e-02 -1.086699218079000169e-04
6.842105263157893802e-01 2.631578947368420907e-02 2.165975178599978716e-04
7.105263157894736725e-01 2.631578947368420907e-02 5.286093046384616806e-04
7.368421052631578538e-01 2.631578947368420907e-02 8.082704831290606681e-04
7.631578947368420351e-01 2.631578947368420907e-02 1.038465937953983063e-03
7.894736842105263275e-01 2.631578947368420907e-02 1.205107829713994742e-03
8.157894736842105088e-01 2.631578947368420907e-02 1.297997763266648188e-03
8.421052631578946901e-01 2.631578947368420907e-02 1.311450924084694427e-03
8.684210526315788714e-01 2.631578947368420907e-02 1.244643985881518922e-03
8.947368421052630527e-01 2.631578947368420907e-02 1.101665497741970623e-03
9.210526315789473450e-01 2.631578947368420907e-02 8.912656670929837432e-04
9.473684210526315264e-01 2.631578947368420907e-02 6.263208516630954957e-04
9.736842105263157077e-01 2.631578947368420907e-02 3.230455332381215673e-04
1.000000000000000000e+00 2.631578947368420907e-02 0.000000000000000000e+00
0.000000000000000000e+00 5.263157894736841813e-02 0.000000000000000000e+00
2.631578947368420907e-02 5.263157894736841813e-02 6.110840703819810787e-04
5.263157894736841813e-02 5.263157894736841813e-02 1.184770120679162113e-03
7.894736842105262720e-02 5.263157894736841813e-02 1.685948869744723772e-03
1.052631578947368363e-01 5.263157894736841813e-02 2.083948444702135756e-03
1.315789473684210453e-01 5.263157894736841813e-02 2.354411483251484232e-03
1.578947368421052544e-01 5.263157894736841813e-02 2.480785791287068963e-03
1.842105263157894635e-01 5.263157894736841813e-02 2.455337328372909304e-03
2.105263157894736725e-01 5.263157894736841813e-02 2.279623526903858371e-03
2.368421052631578816e-01 5.263157894736841813e-02 1.964397978071399584e-03
2.631578947368420907e-01 5.263157894736841813e-02 1.528952317802337486e-03
2.894736842105263275e-01 5.263157894736841813e-02 9.999355889008831096e-04
3.157894736842105088e-01 5.263157894736841813e-02 4.097233338030973259e-04
3.421052631578946901e-01 5.263157894736841813e-02 -2.055637714003401945e-04
3.684210526315789269e-01 5.263157894736841813e-02 -8.082704831290605596e-04
3.947368421052631637e-01 5.263157894736841813e-02 -1.361511471192104143e-03
4.210526315789473450e-01 5.263157894736841813e-02 -1.831428681377089479e-03
4.473684210526315264e-01 5.263157894736841813e-02 -2.189263430359631064e-03
4.736842105263157632e-01 5.263157894736841813e-02 -2.413116421826664616e-03
5.000000000000000000e-01 5.263157894736841813e-02 -2.489287971763037843e-03
5.263157894736841813e-01 5.263157894736841813e-02 -2.413116421826665484e-03
5.526315789473683626e-01 5.263157894736841813e-02 -2.189263430359631932e-03
5.789473684210526550e-01 5.263157894736841813e-02 -1.831428681377090997e-03
6.052631578947368363e-01 5.263157894736841813e-02 -1.361511471192106094e-03
6.315789473684210176e-01 5.263157894736841813e-02 -8.082704831290630533e-04
6.578947368421051989e-01 5.263157894736841813e-02 -2.055637714003432845e-04
6.842105263157893802e-01 5.263157894736841813e-02 4.097233338030943444e-04
7.105263157894736725e-01 5.263157894736841813e-02 9.999355889008807244e-04
7.368421052631578538e-01 5.263157894736841813e-02 1.528952317802335101e-03
7.631578947368420351e-01 5.263157894736841813e-02 1.964397978071397849e-03
7.894736842105263275e-01 5.263157894736841813e-02 2.279623526903856636e-03
8.157894736842105088e-01 5.263157894736841813e-02 2.455337328372908436e-03
8.421052631578946901e-01 5.263157894736841813e-02 2.480785791287068963e-03
8.684210526315788714e-01 5.263157894736841813e-02 2.354411483251484232e-03
8.947368421052630527e-01 5.263157894736841813e-02 2.083948444702135756e-03
9.210526315789473450e-01 5.263157894736841813e-02 1.685948869744724205e-03
9.473684210526315264e-01 5.263157894736841813e-02 1.184770120679162547e-03
9.736842105263157077e-01 5.263157894736841813e-02 6.110840703819817293e-04
1.000000000000000000e+00 5.263157894736841813e-02 0.000000000000000000e+00
0.000000000000000000e+00 7.894736842105262720e-02 0.000000000000000000e+00
2.631578947368420907e-02 7.894736842105262720e-02 8.329021665536426788e-04
5.263157894736841813e-02 7.894736842105262720e-02 1.614831163517091092e-03
7.894736842105262720e-02 7.894736842105262720e-02 2.297933352167530648e-03
1.052631578947368363e-01 7.894736842105262720e-02 2.840403241887030829e-03
1.315789473684210453e-01 7.894736842105262720e-02 3.209041963952918072e-03
1.578947368421052544e-01 7.894736842105262720e-02 3.381289024645829210e-03
1.842105263157894635e-01 7.894736842105262720e-02 3.346602995465892613e-03
2.105263157894736725e-01 7.894736842105262720e-02 3.107106642950163700e-03
2.368421052631578816e-01 7.894736842105262720e-02 2.677457016489605962e-03
2.631578947368420907e-01 7.894736842105262720e-02 2.083948444702136624e-03
2.894736842105263275e-01 7.894736842105262720e-02 1.362903336506603343e-03
3.157894736842105088e-01 7.894736842105262720e-02 5.584492690160684607e-04
3.421052631578946901e-01 7.894736842105262720e-02 -2.801815967110007671e-04
3.684210526315789269e-01 7.894736842105262720e-02 -1.101665497741969538e-03
