Ns five five_roof nine nine_roof
8.000000000000000000e+00 1.483281232685405016e-01 1.234567901234567876e-03 1.876937666710211741e-03 1.524157902758725572e-05
1.600000000000000000e+01 3.922365713142011295e-02 3.460207612456747835e-04 2.083948873230635063e-04 1.197303672130362540e-06
3.100000000000000000e+01 1.089474876050385531e-02 9.765625000000000542e-05 1.775894765556093157e-05 9.536743164062500529e-08
6.300000000000000000e+01 2.710970670957453706e-03 2.441406250000000136e-05 1.130319381190230157e-06 5.960464477539062831e-09
1.270000000000000000e+02 6.769514065095786747e-04 6.103515625000000339e-06 7.095913237650738521e-08 3.725290298461914269e-10
2.560000000000000000e+02 1.678742456206218088e-04 1.514027464458205356e-06 4.371248284281925221e-09 2.292279163133742330e-11
