N nx ny error
3.200000000000000000e+02 2.000000000000000000e+01 1.600000000000000000e+01 8.007962255032998605e-03
3.400000000000000000e+02 2.000000000000000000e+01 1.700000000000000000e+01 7.409449942643643074e-03
3.800000000000000000e+02 2.000000000000000000e+01 1.900000000000000000e+01 6.484333640813068518e-03
4.000000000000000000e+02 2.000000000000000000e+01 2.000000000000000000e+01 6.122422604366481967e-03
4.400000000000000000e+02 2.000000000000000000e+01 2.200000000000000000e+01 5.540845156774856090e-03
4.800000000000000000e+02 2.000000000000000000e+01 2.400000000000000000e+01 5.098008322548081353e-03
