h disc cont
1.428571428571428492e-01 2.057216805847718148e-03 2.203598952525456268e-03
6.666666666666666574e-02 4.498798406404746911e-04 4.651132783784112145e-04
3.225806451612903136e-02 1.064226177977268677e-04 1.081817914171399523e-04
1.587301587301587213e-02 2.594188971918811611e-05 2.615379003927308530e-05
7.874015748031495954e-03 6.407507993693549458e-06 6.433524705035270923e-06
3.921568627450980338e-03 1.592424052084725737e-06 1.595647559771639032e-06
1.956947162426614373e-03 3.969414717968674162e-07 3.973426488690317761e-07
9.775171065493646130e-04 9.909076569904585391e-08 9.914080347027060209e-08
