x U
0.000000000000000000e+00 8.208499862390650215e-02
6.250000000000000000e-02 1.475724353517629539e-01
1.250000000000000000e-01 2.456451815140610062e-01
1.875000000000000000e-01 3.784188829406180954e-01
2.500000000000000000e-01 5.392355659264570500e-01
3.125000000000000000e-01 7.105065736880575855e-01
3.750000000000000000e-01 8.654590150280676575e-01
4.062500000000000000e-01 9.257072109171003982e-01
4.375000000000000000e-01 9.712118551560160462e-01
5.000000000000000000e-01 1.010274355156015380e+00
5.625000000000000000e-01 9.712118551560148250e-01
5.937500000000000000e-01 9.257072109170986218e-01
6.250000000000000000e-01 8.654590150280653260e-01
6.875000000000000000e-01 7.105065736880543659e-01
7.500000000000000000e-01 5.392355659264529422e-01
8.125000000000000000e-01 3.784188829406130439e-01
8.750000000000000000e-01 2.456451815140550665e-01
9.375000000000000000e-01 1.475724353517561260e-01
1.000000000000000000e+00 8.208499862389879997e-02
