# M	L2 discrete	L2 continous step	L2 continous interpolation
2.000000000000000000e+01 5.826086556656041859e-03 4.137551357052139667e-02 4.521335349788276753e-02
2.800000000000000000e+01 2.640905844178039353e-03 3.118055230538104711e-02 3.382059713888124070e-02
4.000000000000000000e+01 1.161894396090085331e-03 2.258752776745135207e-02 2.445091858264973605e-02
5.800000000000000000e+01 5.044815900443012707e-04 1.586128985870515276e-02 1.723850748544433070e-02
8.300000000000000000e+01 2.300159903084450020e-04 1.116654634414167291e-02 1.221543082482972643e-02
1.190000000000000000e+02 1.061869011142081297e-04 7.882504262292307912e-03 8.601598983202099827e-03
1.700000000000000000e+02 5.006512595564500511e-05 5.605685479872926126e-03 6.059558057283088474e-03
2.440000000000000000e+02 2.361990553766122851e-05 3.840733705447070805e-03 4.240458316074071331e-03
3.490000000000000000e+02 1.131301684920613941e-05 2.758816515022533607e-03 2.974256237337008762e-03
5.000000000000000000e+02 5.431919666988365911e-06 1.904287885565819627e-03 2.080248989860247408e-03
