UMR-M UMR-ED UMR-EC AMRE-M AMRE-ED AMRE-EC AMRS-M AMRS-ED AMRS-EC AMRT-M AMRT-ED AMRT-EC
3.300000000000000000e+01 1.725281807274585888e-03 1.725740787841262627e-03 6.300000000000000000e+01 4.280168857593744059e-04 4.276939375372190689e-04 3.300000000000000000e+01 1.402581412638315497e-02 1.421335913271493112e-02 3.300000000000000000e+01 5.675603643468100402e-03 5.379409647691661515e-03
3.400000000000000000e+01 1.622149096309565171e-03 1.622567563476198967e-03 6.500000000000000000e+01 4.308187653709699108e-04 4.308760726514766987e-04 3.400000000000000000e+01 1.448303805883037650e-02 1.472251122561183886e-02 3.400000000000000000e+01 5.945080466699591455e-03 5.610156012010988381e-03
3.500000000000000000e+01 1.527999321672648091e-03 1.528381907739816787e-03 6.700000000000000000e+01 5.617683832327374609e-04 5.517378281106444628e-04 3.500000000000000000e+01 1.494001153401390211e-02 1.523135737819234815e-02 3.500000000000000000e+01 6.204731838756537970e-03 5.844116335684088059e-03
3.600000000000000000e+01 1.441818283966083813e-03 1.442168977494294674e-03 6.900000000000000000e+01 5.858685047711091566e-04 5.670569648226873741e-04 3.600000000000000000e+01 1.505798021221560132e-02 1.536190521950285201e-02 3.600000000000000000e+01 5.923008874649789667e-03 5.597091284671962437e-03
3.700000000000000000e+01 1.362731039806525102e-03 1.363053290074549805e-03 7.100000000000000000e+01 6.092148158838158693e-04 5.825873854477491010e-04 3.700000000000000000e+01 1.516612617293936968e-02 1.549148250733313470e-02 3.700000000000000000e+01 5.648693671260147063e-03 5.356453469338685706e-03
3.800000000000000000e+01 1.289979562321629490e-03 1.290276364528503876e-03 7.300000000000000000e+01 7.352692927699655892e-04 7.025158631957643431e-04 3.800000000000000000e+01 1.257637897608098083e-02 1.275857173149785168e-02 3.800000000000000000e+01 6.015084506592199148e-03 5.716488333204157446e-03
3.900000000000000000e+01 1.222904474954282636e-03 1.223178440118097461e-03 7.500000000000000000e+01 8.491701047863088646e-04 8.141890941741295341e-04 3.900000000000000000e+01 9.977120534072654937e-03 9.995260046132518547e-03 3.900000000000000000e+01 6.396118489557262900e-03 6.097322448593858746e-03
4.000000000000000000e+01 1.160930031362871840e-03 1.161183443979347087e-03 7.700000000000000000e+01 9.463959100177561862e-04 9.127788145426512590e-04 4.000000000000000000e+01 1.002200184704432617e-02 1.005929140337430590e-02 4.000000000000000000e+01 6.183558321934123914e-03 5.903971319873402117e-03
4.100000000000000000e+01 1.103551698088064926e-03 1.103786563938938129e-03 7.900000000000000000e+01 1.023924463848511308e-03 9.945333160674783152e-04 4.100000000000000000e+01 1.006892533656778693e-02 1.012333479505619221e-02 4.100000000000000000e+01 5.974580544037075974e-03 5.713596934320248379e-03
4.200000000000000000e+01 1.050325836881306832e-03 1.050543922870026846e-03 8.100000000000000000e+01 1.079932836080119444e-03 1.056711552963750201e-03 4.200000000000000000e+01 1.001304021384042016e-02 1.007007164737851700e-02 4.200000000000000000e+01 5.635773160560288327e-03 5.413691088316527691e-03
4.300000000000000000e+01 1.000861090429186733e-03 1.001063957928160792e-03 8.300000000000000000e+01 1.113623531845447023e-03 1.097569866687731193e-03 4.300000000000000000e+01 9.952736794088867800e-03 1.001620170419729831e-02 4.300000000000000000e+01 5.306916923075721826e-03 5.121054788484655056e-03
4.400000000000000000e+01 9.548111572841800005e-04 9.550001901739942935e-04 8.500000000000000000e+01 1.125097271904300106e-03 1.116345818300662615e-03 4.400000000000000000e+01 9.994453803987597348e-03 1.007789878361453444e-02 4.400000000000000000e+01 5.191828673772960062e-03 5.016536623795636064e-03
4.500000000000000000e+01 9.118687059849886001e-04 9.120451343298394608e-04 8.700000000000000000e+01 1.115241274878422863e-03 1.113217858942133895e-03 4.500000000000000000e+01 1.003739548501667023e-02 1.013959969173005259e-02 4.500000000000000000e+01 5.079480917634241095e-03 4.914223237284211059e-03
4.600000000000000000e+01 8.717602270302526315e-04 8.719251471488636889e-04 8.900000000000000000e+01 1.085620019520766111e-03 1.089234082193598621e-03 4.600000000000000000e+01 1.007968493876609112e-02 1.019668069629094988e-02 4.600000000000000000e+01 5.163589832438792056e-03 4.975465000744193865e-03
4.700000000000000000e+01 8.342416616069945560e-04 8.343960531529280751e-04 9.100000000000000000e+01 1.038363217984347199e-03 1.046210486940293317e-03 4.700000000000000000e+01 1.012230785402987165e-02 1.025375438226341397e-02 4.700000000000000000e+01 5.241030556871022206e-03 5.036413962738650087e-03
4.800000000000000000e+01 7.990946755779362344e-04 7.992394161279594384e-04 9.300000000000000000e+01 9.760495480106398973e-04 9.866032205220268136e-04 4.800000000000000000e+01 1.016280604282754872e-02 1.030416249905514309e-02 4.800000000000000000e+01 4.889570406227791190e-03 4.731155362322224216e-03
4.900000000000000000e+01 7.661234721069212208e-04 7.662593496644498842e-04 9.500000000000000000e+01 9.015868888800550752e-04 9.133616867882546429e-04 4.900000000000000000e+01 1.020302555746578632e-02 1.035455313925490173e-02 4.900000000000000000e+01 4.550264346340189212e-03 4.434405812929321719e-03
5.000000000000000000e+01 7.351520560350460537e-04 7.352797797824548939e-04 9.700000000000000000e+01 8.180912747121278942e-04 8.297707949375362265e-04 5.000000000000000000e+01 1.013946597205314312e-02 1.028891866977855833e-02 5.000000000000000000e+01 4.503977909364975836e-03 4.393398023244050529e-03
5.100000000000000000e+01 7.060218778730971683e-04 7.061420874476641166e-04 9.900000000000000000e+01 7.287678868170158284e-04 7.392912893472455924e-04 5.100000000000000000e+01 1.007594887158355136e-02 1.022328359901660683e-02 5.100000000000000000e+01 4.458469436935450989e-03 4.352997667151004522e-03
5.200000000000000000e+01 6.785897985376046970e-04 6.787030720583181985e-04 1.010000000000000000e+02 6.367983228909411412e-04 6.454072487720893770e-04 5.200000000000000000e+01 9.935209313788481711e-03 1.007622108472098175e-02 5.200000000000000000e+01 3.150991359045353900e-03 3.110247658425136907e-03
5.300000000000000000e+01 6.527263259136409758e-04 6.528331869475081624e-04 1.030000000000000000e+02 5.452392186682783514e-04 5.514897027820239326e-04 5.300000000000000000e+01 9.794602449134747965e-03 9.929162015152892887e-03 5.300000000000000000e+01 1.553393881036066720e-03 1.518265208912161204e-03
5.400000000000000000e+01 6.283140824333334224e-04 6.284150060583477320e-04 1.050000000000000000e+02 4.569381607742989794e-04 4.606851471628182386e-04 5.400000000000000000e+01 9.792511667085796595e-03 9.930762359924679566e-03 5.400000000000000000e+01 1.554591613124308184e-03 1.520115079104874395e-03
5.500000000000000000e+01 6.052464699849952967e-04 6.053418880812465796e-04 1.070000000000000000e+02 3.744737132334881704e-04 3.758377179814755562e-04 5.500000000000000000e+01 9.790426167715349931e-03 9.932362653321697224e-03 5.500000000000000000e+01 1.555784070946479320e-03 1.521963968209249195e-03
5.600000000000000000e+01 5.834265028925648923e-04 5.835168087717075526e-04 1.090000000000000000e+02 3.001264762978548954e-04 2.994531378034282626e-04 5.600000000000000000e+01 9.829264515168356642e-03 9.974151754172060416e-03 5.600000000000000000e+01 1.258895093158256392e-03 1.233378949681238415e-03
5.700000000000000000e+01 5.627657862787351648e-04 5.628513387448057063e-04 1.110000000000000000e+02 2.358828450395787331e-04 2.337058515328930392e-04 5.700000000000000000e+01 9.867312782119061834e-03 1.001591752730714678e-02 5.700000000000000000e+01 9.798001474789416743e-04 9.600989357417762148e-04
5.800000000000000000e+01 5.431836186376333420e-04 5.432647455576262779e-04 1.130000000000000000e+02 1.834444320027338521e-04 1.804549735383820209e-04 5.800000000000000000e+01 9.908551410144237834e-03 1.006412157797545275e-02 5.800000000000000000e+01 1.032648559541363056e-03 1.004863846123377679e-03
5.900000000000000000e+01 5.246062018134681161e-04 5.246832032641499414e-04 1.150000000000000000e+02 1.441169555722359905e-04 1.411079216291717859e-04 5.900000000000000000e+01 9.949781399059760487e-03 1.011232985297812019e-02 5.900000000000000000e+01 1.088755419020492193e-03 1.051769460019290380e-03
6.000000000000000000e+01 5.069659444045009544e-04 5.070390954520357426e-04 1.170000000000000000e+02 1.182849574629592394e-04 1.159635657030511356e-04 6.000000000000000000e+01 9.983394845328676451e-03 1.014438350430038431e-02 6.000000000000000000e+01 1.144754914771863941e-03 1.098322195055223809e-03
6.100000000000000000e+01 4.902008454351477681e-04 4.902703985956418514e-04 1.190000000000000000e+02 1.044463774195366457e-04 1.030789229879969227e-04 6.100000000000000000e+01 1.001601015566340284e-02 1.017641137264118679e-02 6.100000000000000000e+01 1.202092108852089326e-03 1.146365410889486815e-03
6.200000000000000000e+01 4.742539485998934607e-04 4.743201360220943301e-04 1.210000000000000000e+02 9.910336025911076782e-05 9.836806248818895739e-05 6.200000000000000000e+01 9.793782297664678504e-03 9.943344388161868760e-03 6.200000000000000000e+01 1.255686645298414311e-03 1.191339110355437922e-03
6.300000000000000000e+01 4.590728574723595946e-04 4.591358928777665156e-04 1.230000000000000000e+02 1.090510661281019600e-04 1.069142438488696853e-04 6.300000000000000000e+01 9.571810222148230407e-03 9.710265645430959588e-03 6.300000000000000000e+01 1.309498355335173480e-03 1.237271577406290389e-03
6.400000000000000000e+01 4.446093042205124949e-04 4.446693846312318879e-04 1.250000000000000000e+02 1.208006035889399465e-04 1.181357698438870906e-04 6.400000000000000000e+01 9.600186203811577126e-03 9.731417207555079912e-03 6.400000000000000000e+01 1.198644367625623314e-03 1.142755346498833821e-03
6.500000000000000000e+01 4.308187653709699108e-04 4.308760726514766987e-04 1.270000000000000000e+02 1.318167946840324595e-04 1.290741457487649361e-04 6.500000000000000000e+01 9.627431784099728385e-03 9.752544917835333921e-03 6.500000000000000000e+01 1.078822414322035779e-03 1.036598969865262006e-03
6.600000000000000000e+01 4.176601184747528854e-04 4.177148207100866615e-04 1.290000000000000000e+02 1.398942670621399257e-04 1.372304557266077222e-04 6.600000000000000000e+01 9.693002623908536855e-03 9.826375007394173855e-03 6.600000000000000000e+01 1.126902233154376820e-03 1.080483452673883758e-03
6.700000000000000000e+01 4.050953349328574463e-04 4.051475876627910581e-04 1.310000000000000000e+02 1.432110318386908040e-04 1.406385204911073312e-04 6.700000000000000000e+01 9.758572170446982996e-03 9.900220682481595050e-03 6.700000000000000000e+01 1.174504704695590335e-03 1.124771561336703786e-03
6.800000000000000000e+01 3.930892049876395507e-04 3.931391523138044503e-04 1.330000000000000000e+02 1.403931755381996130e-04 1.378783524174060455e-04 6.800000000000000000e+01 9.780691133861060468e-03 9.910273040052436019e-03 6.800000000000000000e+01 1.212585019806033731e-03 1.163337328737199536e-03
6.900000000000000000e+01 3.816090902751921999e-04 3.816568658558184331e-04 1.350000000000000000e+02 1.434296372330282922e-04 1.397836867962081884e-04 6.900000000000000000e+01 9.801660106023395158e-03 9.920306711071868316e-03 6.900000000000000000e+01 1.251166560036595828e-03 1.202637775338084641e-03
7.000000000000000000e+01 3.706247021634851324e-04 3.706704301087131582e-04 1.370000000000000000e+02 1.464161312335610619e-04 1.417073678132277413e-04 7.000000000000000000e+01 9.502477601681389233e-03 9.610914660493253756e-03 7.000000000000000000e+01 1.291310846695054070e-03 1.240609375176148117e-03
7.100000000000000000e+01 3.601079013254875256e-04 3.601516970043536084e-04 1.390000000000000000e+02 1.493557678761791413e-04 1.436442620045533703e-04 7.100000000000000000e+01 9.203697008469405999e-03 9.301431561337353965e-03 7.100000000000000000e+01 1.330673654526279845e-03 1.278646735259086290e-03
7.200000000000000000e+01 3.500325171220716844e-04 3.500744878910084872e-04 1.410000000000000000e+02 1.522508818378357322e-04 1.455892043289647771e-04 7.200000000000000000e+01 8.989921101725547800e-03 9.091557909510153065e-03 7.200000000000000000e+01 1.360206921660232814e-03 1.307259077750849881e-03
7.300000000000000000e+01 3.403741849911477843e-04 3.404144308526676544e-04 1.430000000000000000e+02 1.682900999777211734e-04 1.607410860692814200e-04 7.300000000000000000e+01 8.775843017309079702e-03 8.881368998891945449e-03 7.300000000000000000e+01 1.388995154013221087e-03 1.335837622770187508e-03
7.400000000000000000e+01 3.311101985400393549e-04 3.311488127390554937e-04 1.450000000000000000e+02 1.837478193382528985e-04 1.755519787310525024e-04 7.400000000000000000e+01 8.788289073787782651e-03 8.880305688343335252e-03 7.400000000000000000e+01 1.353653296254124765e-03 1.302254352898379224e-03
7.500000000000000000e+01 3.222193761623154884e-04 3.222564457268262020e-04 1.470000000000000000e+02 1.984388262092610000e-04 1.898427497010097035e-04 7.500000000000000000e+01 8.799793965413646793e-03 8.879228521912160485e-03 7.500000000000000000e+01 1.318521388854752233e-03 1.268833577630995579e-03
7.600000000000000000e+01 3.136819396311714349e-04 3.137175458631188984e-04 1.490000000000000000e+02 2.122097738707899464e-04 2.034542011873077469e-04 7.600000000000000000e+01 8.794125996797694592e-03 8.887226105497667700e-03 7.600000000000000000e+01 1.279198332609268957e-03 1.231786666785950361e-03
7.700000000000000000e+01 3.054794041209791871e-04 3.055136230424957832e-04 1.510000000000000000e+02 2.249337479749198446e-04 2.162447826135101151e-04 7.700000000000000000e+01 8.789144289392137460e-03 8.895223991945044179e-03 7.700000000000000000e+01 1.240177569905461224e-03 1.194968003570401815e-03
7.800000000000000000e+01 2.975944778906271736e-04 2.976273806502147058e-04 1.530000000000000000e+02 2.365066740593305030e-04 2.280894151135309832e-04 7.800000000000000000e+01 8.784956380196776854e-03 8.903147977635639254e-03 7.800000000000000000e+01 1.210915597192037700e-03 1.167319255449700234e-03
7.900000000000000000e+01 2.900109710356207232e-04 2.900426242783337924e-04 1.550000000000000000e+02 2.468448239665925166e-04 2.388789391111864244e-04 7.900000000000000000e+01 8.781328420692331369e-03 8.911072223457555327e-03 7.900000000000000000e+01 1.181913256929329739e-03 1.139885374375410433e-03
8.000000000000000000e+01 2.827137123639195094e-04 2.827441785691616025e-04 1.570000000000000000e+02 2.558829888136603201e-04 2.485198911085764110e-04 8.000000000000000000e+01 8.778525256120515985e-03 8.918849208346176644e-03 8.000000000000000000e+01 1.140340522439811351e-03 1.101111097268206614e-03
8.100000000000000000e+01 2.756884735384892439e-04 2.757178113286258949e-04 1.590000000000000000e+02 2.635730619282691182e-04 2.569344309732885813e-04 8.100000000000000000e+01 8.776169250336951153e-03 8.926626379448991330e-03 8.100000000000000000e+01 1.099262983440723110e-03 1.062712058807980132e-03
8.200000000000000000e+01 2.689218992730389376e-04 2.689501636956231423e-04 1.610000000000000000e+02 2.698828734821718351e-04 2.640603067051375675e-04 8.200000000000000000e+01 8.774661263342550463e-03 8.934184627512265636e-03 8.200000000000000000e+01 1.076594384613765694e-03 1.041314408325004449e-03
8.300000000000000000e+01 2.624014440569231738e-04 2.624286868431440888e-04 1.630000000000000000e+02 2.747951788961931481e-04 2.698507869348125876e-04 8.300000000000000000e+01 8.773499869551544192e-03 8.941742967159166042e-03 8.300000000000000000e+01 1.054218002095797923e-03 1.020159619577133822e-03
8.400000000000000000e+01 2.561153140725164310e-04 2.561415838741211838e-04 1.650000000000000000e+02 2.783067373288693755e-04 2.742745162032823457e-04 8.400000000000000000e+01 8.773203489687979653e-03 8.949013240572468650e-03 8.400000000000000000e+01 1.037103231898776380e-03 1.003973644655023608e-03
8.500000000000000000e+01 2.500524136864870411e-04 2.500777562931769810e-04 1.670000000000000000e+02 2.804274396417323384e-04 2.773152665771093286e-04 8.500000000000000000e+01 8.773164209925764234e-03 8.956283500396509598e-03 8.500000000000000000e+01 1.020220866925431683e-03 9.879754934243355560e-04
8.600000000000000000e+01 2.442022957680935603e-04 2.442267543071576993e-04 1.690000000000000000e+02 2.811794585666349132e-04 2.789715699663787639e-04 8.600000000000000000e+01 8.774002033172249165e-03 8.963199854482111623e-03 8.600000000000000000e+01 9.789467637968186139e-04 9.496812292386810602e-04
8.700000000000000000e+01 2.385551182138438470e-04 2.385787333338817431e-04 1.710000000000000000e+02 2.805964035905564639e-04 2.792562247411154992e-04 8.700000000000000000e+01 8.775017504423658632e-03 8.970116088536624413e-03 8.700000000000000000e+01 9.385314188682784310e-04 9.120421417040662938e-04
8.800000000000000000e+01 2.331016008085282976e-04 2.331244108483932018e-04 1.730000000000000000e+02 2.787224694132722693e-04 2.781956762046909441e-04 8.800000000000000000e+01 8.776918393481608280e-03 8.976616618863484526e-03 8.800000000000000000e+01 9.527450246923294119e-04 9.255675169927889351e-04
8.900000000000000000e+01 2.278329881372071191e-04 2.278550292817618902e-04 1.750000000000000000e+02 2.756115705994799793e-04 2.758292745197653230e-04 8.900000000000000000e+01 8.778926592359778680e-03 8.983116929545903115e-03 8.900000000000000000e+01 9.666310067628758719e-04 9.391314504962929976e-04
9.000000000000000000e+01 2.227410139994330019e-04 2.227623204231525761e-04 1.770000000000000000e+02 2.713264597406298538e-04 2.722084190621764732e-04 9.000000000000000000e+01 8.781825715086686093e-03 8.989144460884463533e-03 9.000000000000000000e+01 9.547730742100162937e-04 9.278776663593662523e-04
9.100000000000000000e+01 2.178178691975236132e-04 2.178384731970721671e-04 1.790000000000000000e+02 2.659378270707613771e-04 2.673955986372241259e-04 9.100000000000000000e+01 8.784770086629882860e-03 8.995171686385900964e-03 9.100000000000000000e+01 9.430814113450478866e-04 9.167573502461891797e-04
9.200000000000000000e+01 2.130561709806587096e-04 2.130761030973244102e-04 1.810000000000000000e+02 2.595233833912605811e-04 2.614633417982427854e-04 9.200000000000000000e+01 8.785048088169078104e-03 8.983427252336747409e-03 9.200000000000000000e+01 9.012710736701204980e-04 8.781262254431862696e-04
9.300000000000000000e+01 2.084489364308890697e-04 2.084682255639019584e-04 1.830000000000000000e+02 2.521669278810872430e-04 2.544930908004997732e-04 9.300000000000000000e+01 8.784843874016038875e-03 8.971675271617051903e-03 9.300000000000000000e+01 8.604091104623278917e-04 8.402136552028521789e-04
9.400000000000000000e+01 2.039895556370628236e-04 2.040082291483643619e-04 1.850000000000000000e+02 2.439574053746221846e-04 2.465740160727276768e-04 9.400000000000000000e+01 8.773100640656358515e-03 8.961158175610217658e-03 9.400000000000000000e+01 8.536109593694141866e-04 8.336336013894705228e-04
9.500000000000000000e+01 1.996717686276358833e-04 1.996898524389874991e-04 1.870000000000000000e+02 2.349879578762512230e-04 2.378017878317928002e-04 9.500000000000000000e+01 8.761363608405018516e-03 8.950641260609548330e-03 9.500000000000000000e+01 8.469240585082144250e-04 8.271380069291548896e-04
9.600000000000000000e+01 1.954896435141056888e-04 1.955071621971271861e-04 1.890000000000000000e+02 2.253549760333095782e-04 2.282773218901510727e-04 9.600000000000000000e+01 8.754244821627803555e-03 8.944836089788894481e-03 9.600000000000000000e+01 8.069187361846104529e-04 7.903285505532943326e-04
9.700000000000000000e+01 1.914375557990096301e-04 1.914545326586932763e-04 1.910000000000000000e+02 2.151571583236982544e-04 2.181055184267208908e-04 9.700000000000000000e+01 8.747129700620368334e-03 8.939030991870110937e-03 9.700000000000000000e+01 7.680541391819267283e-04 7.543468950737459468e-04
