M disc cont
8.000000000000000000e+00 1.010726961214211406e-01 1.010794908714204438e-01
1.600000000000000000e+01 1.364669897630998996e-02 1.369331578845106590e-02
3.200000000000000000e+01 2.249678179830493993e-03 2.258191860935573371e-03
6.400000000000000000e+01 4.352896819357257151e-04 4.365000892256721914e-04
1.280000000000000000e+02 9.405663743818568621e-05 9.421597764340933461e-05
2.560000000000000000e+02 2.173942969184646543e-05 2.175980222833712128e-05
5.120000000000000000e+02 5.217510821166086001e-06 5.220084016026311217e-06
1.024000000000000000e+03 1.277492179712803374e-06 1.277815429692033785e-06
