x U
0.000000000000000000e+00 8.208499862390244983e-02
1.250000000000000000e-01 2.450071629072732016e-01
1.875000000000000000e-01 3.785196779453471327e-01
2.500000000000000000e-01 5.400751745427029293e-01
3.750000000000000000e-01 8.945491420646991543e-01
4.375000000000000000e-01 1.002874026701808363e+00
5.000000000000000000e-01 1.041936526701808141e+00
5.625000000000000000e-01 1.002874026701807919e+00
6.250000000000000000e-01 8.945491420646982661e-01
7.500000000000000000e-01 5.400751745427010420e-01
8.125000000000000000e-01 3.785196779453447458e-01
8.750000000000000000e-01 2.450071629072703705e-01
1.000000000000000000e+00 8.208499862389879997e-02
