M disc cont
8.000000000000000000e+00 6.087786850708913622e-02 6.591413474361862423e-02
1.600000000000000000e+01 1.439567815180036597e-02 1.503402688660953647e-02
3.200000000000000000e+01 3.478385526838509087e-03 3.556298496680805696e-03
6.400000000000000000e+01 8.535956120963002561e-04 8.631615688180599129e-04
1.280000000000000000e+02 2.113469902931755929e-04 2.125304587424488940e-04
2.560000000000000000e+02 5.257722347359600060e-05 5.272434844053452833e-05
5.120000000000000000e+02 1.311168490144595897e-05 1.313002376436424183e-05
1.024000000000000000e+03 3.273826181094165392e-06 3.276114458696954800e-06
