x U
0.000000000000000000e+00 8.208499862390061796e-02
1.250000000000000000e-01 2.305487930489787951e-01
1.875000000000000000e-01 3.568321231579064667e-01
2.500000000000000000e-01 5.111584348261160038e-01
3.750000000000000000e-01 8.511740324898198207e-01
5.000000000000000000e-01 1.007424032489819599e+00
6.250000000000000000e-01 8.511740324898193766e-01
7.500000000000000000e-01 5.111584348261151156e-01
8.125000000000000000e-01 3.568321231579053010e-01
8.750000000000000000e-01 2.305487930489774073e-01
1.000000000000000000e+00 8.208499862389879997e-02
