x U u
1.102204408817635123e-01 6.058752595630164696e-03 6.058519403692081556e-03
1.122244488977955784e-01 6.276338898216149258e-03 6.276100153382681290e-03
1.142284569138276445e-01 6.497434237668507119e-03 6.497189899532285901e-03
1.162324649298597107e-01 6.722013645752495520e-03 6.721763674342365324e-03
1.182364729458917768e-01 6.950051674583357549e-03 6.949796030370724437e-03
1.202404809619238429e-01 7.181522401936960356e-03 7.181261045842053659e-03
1.222444889779558952e-01 7.416399436635636236e-03 7.416132330033711056e-03
1.242484969939879613e-01 7.654655924008387825e-03 7.654383028735830402e-03
1.262525050100200275e-01 7.896264551424553649e-03 7.895985829784950283e-03
1.282565130260520936e-01 8.141197553900100456e-03 8.140912968670210165e-03
1.302605210420841597e-01 8.389426719775631633e-03 8.389136234211284210e-03
1.322645290581162258e-01 8.640923396465206158e-03 8.640626974307126507e-03
1.342685370741482920e-01 8.895658496275065177e-03 8.895356101754636063e-03
1.362725450901803581e-01 9.153602502291352874e-03 9.153294100136263184e-03
1.382765531062124242e-01 9.414725474335878391e-03 9.414411029775728024e-03
1.402805611222444904e-01 9.678997054988985535e-03 9.678676533760796619e-03
1.422845691382765287e-01 9.946386475678572689e-03 9.946059844032231409e-03
1.442885771543085949e-01 1.021686256283431751e-02 1.021652978753790839e-02
1.462925851703406610e-01 1.049039374410607427e-02 1.049005479245115370e-02
1.482965931863727271e-01 1.076694805464553130e-02 1.076660289445231442e-02
1.503006012024047933e-01 1.104649314345007745e-02 1.104614174307255031e-02
1.523046092184368594e-01 1.132899627976790419e-02 1.132863860809883022e-02
1.543086172344689255e-01 1.161442435956330961e-02 1.161406038603916314e-02
1.563126252505009917e-01 1.190274391204117384e-02 1.190237360664698173e-02
1.583166332665330578e-01 1.219392110622960317e-02 1.219354443950371701e-02
1.603206412825651239e-01 1.248792175761965877e-02 1.248753870065841091e-02
1.623246492985971901e-01 1.278471133486115165e-02 1.278432185932344180e-02
1.643286573146292562e-01 1.308425496651342140e-02 1.308385904462521822e-02
1.663326653306613223e-01 1.338651744785003365e-02 1.338611505240876881e-02
1.683366733466933607e-01 1.369146324771631715e-02 1.369105435209519786e-02
1.703406813627254268e-01 1.399905651543867022e-02 1.399864109359091197e-02
1.723446893787574929e-01 1.430926108778448995e-02 1.430883911424742951e-02
1.743486973947895591e-01 1.462204049597169188e-02 1.462161194587083789e-02
1.763527054108216252e-01 1.493735797272666144e-02 1.493692282177963571e-02
1.783567134268536913e-01 1.525517645938952518e-02 1.525473468390990683e-02
1.803607214428857575e-01 1.557545861306562120e-02 1.557501018996670233e-02
1.823647294589178236e-01 1.589816681382203237e-02 1.589771172062048876e-02
1.843687374749498897e-01 1.622326317192804984e-02 1.622280138674749017e-02
1.863727454909819559e-01 1.655070953513841300e-02 1.655024103671286217e-02
1.883767535070140220e-01 1.688046749601814639e-02 1.687999226369541264e-02
1.903807615230460881e-01 1.721249839930788852e-02 1.721201641305282470e-02
1.923847695390781265e-01 1.754676334932848969e-02 1.754627458972618514e-02
1.943887775551101926e-01 1.788322321742374932e-02 1.788272766568260383e-02
1.963927855711422588e-01 1.822183864944004056e-02 1.822133628739473418e-02
1.983967935871743249e-01 1.856257007324175340e-02 1.856206088335615734e-02
2.004008016032063910e-01 1.890537770626126227e-02 1.890486167163118320e-02
2.024048096192384572e-01 1.925022156308224194e-02 1.924969866743811431e-02
2.044088176352705233e-01 1.959706146305518690e-02 1.959653169076466458e-02
2.064128256513025894e-01 1.994585703794383644e-02 1.994532037401425262e-02
2.084168336673346555e-01 2.029656773960138161e-02 2.029602416968213224e-02
2.104208416833667217e-01 2.064915284767516665e-02 2.064860235805999686e-02
2.124248496993987878e-01 2.100357147733870888e-02 2.100301405496786400e-02
2.144288577154308539e-01 2.135978258704979149e-02 2.135921821951210914e-02
2.164328657314629201e-01 2.171774498633339753e-02 2.171717366186827133e-02
