x y U
0.606 0.020 -0.000
0.616 0.020 -0.000
0.626 0.020 -0.000
0.636 0.020 -0.000
0.646 0.020 -0.000
0.657 0.020 -0.000
0.667 0.020 -0.000
0.677 0.020 -0.000
0.687 0.020 -0.000
0.697 0.020 -0.000
0.707 0.020 -0.000
0.717 0.020 -0.000
0.727 0.020 -0.000
0.737 0.020 -0.000
0.747 0.020 -0.000
0.758 0.020 -0.000
0.768 0.020 -0.000
0.778 0.020 -0.000
0.788 0.020 -0.000
0.798 0.020 -0.000
0.808 0.020 -0.000
0.818 0.020 -0.000
0.828 0.020 -0.000
0.838 0.020 -0.000
0.848 0.020 -0.000
0.859 0.020 -0.000
0.869 0.020 -0.000
0.879 0.020 -0.000
0.889 0.020 -0.000
0.899 0.020 -0.000
0.909 0.020 -0.000
0.919 0.020 -0.000
0.929 0.020 0.000
0.939 0.020 0.000
0.949 0.020 0.000
0.960 0.020 0.000
0.970 0.020 0.000
0.980 0.020 0.000
0.990 0.020 0.000
1.000 0.020 0.000
0.000 0.030 0.000
0.010 0.030 0.000
0.020 0.030 0.001
0.030 0.030 0.001
0.040 0.030 0.001
0.051 0.030 0.001
0.061 0.030 0.001
0.071 0.030 0.001
0.081 0.030 0.001
0.091 0.030 0.001
0.101 0.030 0.001
0.111 0.030 0.001
0.121 0.030 0.001
0.131 0.030 0.001
0.141 0.030 0.001
0.152 0.030 0.001
0.162 0.030 0.001
0.172 0.030 0.001
0.182 0.030 0.001
0.192 0.030 0.001
0.202 0.030 0.001
0.212 0.030 0.001
0.222 0.030 0.001
0.232 0.030 0.001
0.242 0.030 0.001
0.253 0.030 0.001
0.263 0.030 0.001
0.273 0.030 0.001
0.283 0.030 0.001
0.293 0.030 0.001
0.303 0.030 0.001
0.313 0.030 0.001
0.323 0.030 0.001
0.333 0.030 0.001
0.343 0.030 0.001
0.354 0.030 0.001
0.364 0.030 0.001
0.374 0.030 0.001
0.384 0.030 0.001
0.394 0.030 0.001
0.404 0.030 0.001
0.414 0.030 0.001
0.424 0.030 0.001
0.434 0.030 0.001
0.444 0.030 0.001
0.455 0.030 0.001
0.465 0.030 0.001
0.475 0.030 0.000
0.485 0.030 0.000
0.495 0.030 0.000
0.505 0.030 0.000
0.515 0.030 0.000
0.525 0.030 0.000
0.535 0.030 0.000
0.545 0.030 0.000
0.556 0.030 0.000
0.566 0.030 -0.000
0.576 0.030 -0.000
0.586 0.030 -0.000
0.596 0.030 -0.000
0.606 0.030 -0.000
0.616 0.030 -0.000
0.626 0.030 -0.000
0.636 0.030 -0.000
0.646 0.030 -0.000
0.657 0.030 -0.000
0.667 0.030 -0.000
0.677 0.030 -0.000
0.687 0.030 -0.000
0.697 0.030 -0.000
0.707 0.030 -0.001
0.717 0.030 -0.001
0.727 0.030 -0.001
0.737 0.030 -0.001
0.747 0.030 -0.001
0.758 0.030 -0.001
0.768 0.030 -0.001
0.778 0.030 -0.001
0.788 0.030 -0.000
0.798 0.030 -0.000
0.808 0.030 -0.000
0.818 0.030 -0.000
0.828 0.030 -0.000
0.838 0.030 -0.000
0.848 0.030 -0.000
0.859 0.030 -0.000
0.869 0.030 -0.000
0.879 0.030 -0.000
0.889 0.030 -0.000
0.899 0.030 -0.000
0.909 0.030 -0.000
0.919 0.030 -0.000
0.929 0.030 0.000
0.939 0.030 0.000
0.949 0.030 0.000
0.960 0.030 0.000
0.970 0.030 0.000
0.980 0.030 0.000
0.990 0.030 0.000
1.000 0.030 0.000
0.000 0.040 0.001
0.010 0.040 0.001
0.020 0.040 0.001
0.030 0.040 0.001
0.040 0.040 0.001
0.051 0.040 0.001
0.061 0.040 0.001
0.071 0.040 0.001
0.081 0.040 0.001
0.091 0.040 0.001
0.101 0.040 0.001
0.111 0.040 0.001
0.121 0.040 0.001
0.131 0.040 0.001
0.141 0.040 0.001
0.152 0.040 0.001
0.162 0.040 0.001
0.172 0.040 0.001
0.182 0.040 0.001
0.192 0.040 0.002
0.202 0.040 0.002
0.212 0.040 0.002
0.222 0.040 0.002
0.232 0.040 0.002
0.242 0.040 0.002
0.253 0.040 0.002
0.263 0.040 0.002
0.273 0.040 0.002
0.283 0.040 0.002
0.293 0.040 0.001
0.303 0.040 0.001
0.313 0.040 0.001
0.323 0.040 0.001
0.333 0.040 0.001
0.343 0.040 0.001
0.354 0.040 0.001
0.364 0.040 0.001
0.374 0.040 0.001
0.384 0.040 0.001
0.394 0.040 0.001
0.404 0.040 0.001
0.414 0.040 0.001
0.424 0.040 0.001
0.434 0.040 0.001
0.444 0.040 0.001
0.455 0.040 0.001
0.465 0.040 0.001
0.475 0.040 0.001
0.485 0.040 0.000
0.495 0.040 0.000
0.505 0.040 0.000
0.515 0.040 0.000
0.525 0.040 0.000
0.535 0.040 0.000
0.545 0.040 0.000
0.556 0.040 0.000
0.566 0.040 -0.000
0.576 0.040 -0.000
0.586 0.040 -0.000
0.596 0.040 -0.000
0.606 0.040 -0.000
0.616 0.040 -0.000
0.626 0.040 -0.000
0.636 0.040 -0.000
0.646 0.040 -0.000
0.657 0.040 -0.001
0.667 0.040 -0.001
0.677 0.040 -0.001
0.687 0.040 -0.001
0.697 0.040 -0.001
0.707 0.040 -0.001
0.717 0.040 -0.001
0.727 0.040 -0.001
0.737 0.040 -0.001
0.747 0.040 -0.001
0.758 0.040 -0.001
0.768 0.040 -0.001
0.778 0.040 -0.001
0.788 0.040 -0.001
0.798 0.040 -0.001
0.808 0.040 -0.001
0.818 0.040 -0.001
0.828 0.040 -0.001
0.838 0.040 -0.000
0.848 0.040 -0.000
0.859 0.040 -0.000
0.869 0.040 -0.000
0.879 0.040 -0.000
0.889 0.040 -0.000
0.899 0.040 -0.000
0.909 0.040 -0.000
0.919 0.040 -0.000
0.929 0.040 0.000
0.939 0.040 0.000
0.949 0.040 0.000
0.960 0.040 0.000
0.970 0.040 0.000
0.980 0.040 0.000
0.990 0.040 0.000
1.000 0.040 0.001
0.000 0.051 0.001
0.010 0.051 0.001
0.020 0.051 0.001
0.030 0.051 0.001
0.040 0.051 0.001
0.051 0.051 0.001
0.061 0.051 0.001
0.071 0.051 0.001
0.081 0.051 0.001
0.091 0.051 0.001
0.101 0.051 0.001
0.111 0.051 0.001
0.121 0.051 0.002
0.131 0.051 0.002
0.141 0.051 0.002
0.152 0.051 0.002
0.162 0.051 0.002
0.172 0.051 0.002
0.182 0.051 0.002
0.192 0.051 0.002
0.202 0.051 0.002
0.212 0.051 0.002
0.222 0.051 0.002
0.232 0.051 0.002
0.242 0.051 0.002
0.253 0.051 0.002
0.263 0.051 0.002
0.273 0.051 0.002
0.283 0.051 0.002
0.293 0.051 0.002
0.303 0.051 0.002
0.313 0.051 0.002
0.323 0.051 0.002
0.333 0.051 0.002
0.343 0.051 0.002
0.354 0.051 0.002
0.364 0.051 0.001
0.374 0.051 0.001
0.384 0.051 0.001
0.394 0.051 0.001
0.404 0.051 0.001
0.414 0.051 0.001
0.424 0.051 0.001
0.434 0.051 0.001
0.444 0.051 0.001
0.455 0.051 0.001
0.465 0.051 0.001
0.475 0.051 0.001
0.485 0.051 0.001
0.495 0.051 0.001
0.505 0.051 0.000
0.515 0.051 0.000
0.525 0.051 0.000
0.535 0.051 0.000
0.545 0.051 0.000
0.556 0.051 0.000
0.566 0.051 -0.000
0.576 0.051 -0.000
0.586 0.051 -0.000
0.596 0.051 -0.000
0.606 0.051 -0.000
0.616 0.051 -0.000
0.626 0.051 -0.000
0.636 0.051 -0.001
0.646 0.051 -0.001
0.657 0.051 -0.001
0.667 0.051 -0.001
0.677 0.051 -0.001
0.687 0.051 -0.001
0.697 0.051 -0.001
0.707 0.051 -0.001
0.717 0.051 -0.001
0.727 0.051 -0.001
0.737 0.051 -0.001
0.747 0.051 -0.001
0.758 0.051 -0.001
0.768 0.051 -0.001
0.778 0.051 -0.001
0.788 0.051 -0.001
0.798 0.051 -0.001
0.808 0.051 -0.001
0.818 0.051 -0.001
0.828 0.051 -0.001
0.838 0.051 -0.001
0.848 0.051 -0.001
0.859 0.051 -0.000
0.869 0.051 -0.000
0.879 0.051 -0.000
0.889 0.051 -0.000
0.899 0.051 -0.000
0.909 0.051 -0.000
0.919 0.051 -0.000
0.929 0.051 0.000
0.939 0.051 0.000
0.949 0.051 0.000
0.960 0.051 0.000
0.970 0.051 0.000
0.980 0.051 0.000
0.990 0.051 0.001
1.000 0.051 0.001
0.000 0.061 0.001
0.010 0.061 0.001
0.020 0.061 0.001
0.030 0.061 0.001
0.040 0.061 0.001
0.051 0.061 0.001
0.061 0.061 0.001
0.071 0.061 0.001
0.081 0.061 0.001
0.091 0.061 0.002
0.101 0.061 0.002
0.111 0.061 0.002
0.121 0.061 0.002
0.131 0.061 0.002
0.141 0.061 0.002
0.152 0.061 0.002
0.162 0.061 0.002
0.172 0.061 0.002
0.182 0.061 0.002
0.192 0.061 0.002
0.202 0.061 0.002
0.212 0.061 0.002
0.222 0.061 0.002
0.232 0.061 0.002
0.242 0.061 0.002
0.253 0.061 0.002
0.263 0.061 0.002
0.273 0.061 0.002
0.283 0.061 0.002
0.293 0.061 0.002
0.303 0.061 0.002
0.313 0.061 0.002
0.323 0.061 0.002
0.333 0.061 0.002
